,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
510,"Screven County, GA",13990,31
511,"Seminole County, GA",8437,0
512,"Spalding County, GA",64719,282
513,"Stephens County, GA",25676,40
514,"Stewart County, GA",6042,14
515,"Sumter County, GA",30352,23
516,"Talbot County, GA",6378,2
517,"Taliaferro County, GA",1665,0
518,"Tattnall County, GA",25353,85
519,"Taylor County, GA",8193,0
520,"Telfair County, GA",16115,9
521,"Terrell County, GA",8859,10
522,"Thomas County, GA",44730,51
523,"Tift County, GA",40510,36
524,"Toombs County, GA",27048,4
525,"Towns County, GA",11417,64
526,"Treutlen County, GA",6777,0
527,"Troup County, GA",69774,134
528,"Turner County, GA",7962,17
529,"Twiggs County, GA",8284,0
530,"Union County, GA",22775,151
531,"Upson County, GA",26216,88
532,"Walker County, GA",68824,109
533,"Walton County, GA",90132,178
534,"Ware County, GA",35599,178
535,"Warren County, GA",5346,0
536,"Washington County, GA",20461,10
537,"Wayne County, GA",29767,44
538,"Webster County, GA",2613,5
539,"Wheeler County, GA",7939,36
540,"White County, GA",28928,162
541,"Whitfield County, GA",103849,729
542,"Wilcox County, GA",8846,26
543,"Wilkes County, GA",9884,0
544,"Wilkinson County, GA",9078,10
545,"Worth County, GA",20656,77
546,"Hawaii County, HI",197658,849
547,"Honolulu County, HI",987638,1508
548,"Kauai County, HI",71377,392
549,"Maui County, HI",165281,236
550,"Ada County, ID",446052,2525
551,"Adams County, ID",4019,50
552,"Bannock County, ID",85065,2552
553,"Bear Lake County, ID",5962,26
554,"Benewah County, ID",9086,867
555,"Bingham County, ID",45551,2969
556,"Blaine County, ID",21994,4
557,"Boise County, ID",7163,81
558,"Bonner County, ID",42711,426
559,"Bonneville County, ID",112397,498
560,"Boundary County, ID",11549,119
561,"Butte County, ID",2602,1
562,"Camas County, ID",886,0
563,"Canyon County, ID",212230,2425
564,"Caribou County, ID",6918,12
565,"Cassia County, ID",23615,281
566,"Clark County, ID",1077,96
567,"Clearwater County, ID",8640,186
568,"Custer County, ID",4141,42
569,"Elmore County, ID",26433,372
570,"Franklin County, ID",13279,86
571,"Fremont County, ID",12965,39
572,"Gem County, ID",17052,322
573,"Gooding County, ID",15169,117
574,"Idaho County, ID",16337,577
575,"Jefferson County, ID",27969,158
576,"Jerome County, ID",23431,113
577,"Kootenai County, ID",153605,2170
578,"Latah County, ID",39239,469
579,"Lemhi County, ID",7798,18
580,"Lewis County, ID",3845,280
581,"Lincoln County, ID",5321,26
582,"Madison County, ID",38705,48
583,"Minidoka County, ID",20615,188
584,"Nez Perce County, ID",40155,2449
585,"Oneida County, ID",4326,9
586,"Owyhee County, ID",11455,369
587,"Payette County, ID",23041,157
588,"Power County, ID",7713,402
589,"Shoshone County, ID",12526,325
590,"Teton County, ID",11080,41
591,"Twin Falls County, ID",83666,773
592,"Valley County, ID",10401,26
593,"Washington County, ID",10025,96
594,"Adams County, IL",66427,278
595,"Alexander County, IL",6532,48
596,"Bond County, IL",16712,68
597,"Boone County, IL",53606,179
598,"Brown County, IL",6675,6
599,"Bureau County, IL",33381,48
600,"Calhoun County, IL",4858,1
601,"Carroll County, IL",14562,17
602,"Cass County, IL",12665,17
603,"Champaign County, IL",209448,312
604,"Christian County, IL",33231,62
605,"Clark County, IL",15836,14
606,"Clay County, IL",13338,20
607,"Clinton County, IL",37628,104
608,"Coles County, IL",51736,107
609,"Cook County, IL",5223719,14583
610,"Crawford County, IL",19088,14
611,"Cumberland County, IL",10865,22
612,"DeKalb County, IL",104200,62
613,"De Witt County, IL",16042,13
614,"Douglas County, IL",19714,110
615,"DuPage County, IL",931743,2037
616,"Edgar County, IL",17539,12
617,"Edwards County, IL",6507,34
618,"Effingham County, IL",34174,24
619,"Fayette County, IL",21724,49
620,"Ford County, IL",13398,59
621,"Franklin County, IL",39127,116
622,"Fulton County, IL",35418,116
623,"Gallatin County, IL",5157,27
624,"Greene County, IL",13218,40
625,"Grundy County, IL",50509,35
626,"Hamilton County, IL",8221,23
627,"Hancock County, IL",18112,3
628,"Hardin County, IL",4009,11
629,"Henderson County, IL",6884,16
630,"Henry County, IL",49464,102
631,"Iroquois County, IL",28169,16
632,"Jackson County, IL",58551,111
633,"Jasper County, IL",9598,16
634,"Jefferson County, IL",38169,44
635,"Jersey County, IL",22069,23
636,"Jo Daviess County, IL",21834,57
637,"Johnson County, IL",12602,13
638,"Kane County, IL",530839,2419
639,"Kankakee County, IL",111061,230
640,"Kendall County, IL",124626,160
641,"Knox County, IL",50999,162
642,"Lake County, IL",703619,1760
643,"LaSalle County, IL",110401,266
644,"Lawrence County, IL",16189,39
645,"Lee County, IL",34527,92
646,"Livingston County, IL",36324,3
647,"Logan County, IL",29207,44
648,"McDonough County, IL",30875,57
649,"McHenry County, IL",307789,298
650,"McLean County, IL",173219,296
651,"Macon County, IL",106512,293
652,"Macoupin County, IL",45719,82
653,"Madison County, IL",265670,536
654,"Marion County, IL",38084,86
655,"Marshall County, IL",11794,18
656,"Mason County, IL",13778,14
657,"Massac County, IL",14430,7
658,"Menard County, IL",12367,16
659,"Mercer County, IL",15693,16
660,"Monroe County, IL",33936,17
661,"Montgomery County, IL",29009,45
662,"Morgan County, IL",34426,73
663,"Moultrie County, IL",14703,40
664,"Ogle County, IL",51328,178
665,"Peoria County, IL",184463,522
666,"Perry County, IL",21384,22
667,"Piatt County, IL",16427,10
668,"Pike County, IL",15754,43
669,"Pope County, IL",4249,10
670,"Pulaski County, IL",5611,7
671,"Putnam County, IL",5746,0
672,"Randolph County, IL",32546,47
673,"Richland County, IL",15881,52
674,"Rock Island County, IL",145275,474
675,"St. Clair County, IL",263463,444
676,"Saline County, IL",24231,40
