,GEO_NAME,County_Population,American Indian and Alaska Native alone_Total
3175,,53466,7
3175,,53466,68
3175,,53466,8
3175,,53466,0
3175,,53466,121
3175,,53466,0
3175,,53466,76
3175,,53466,0
3175,,53466,6
3175,,53466,0
3175,,53466,31
3175,,53466,0
3175,,53466,30
3175,,53466,0
3175,,53466,131
3175,,53466,231
3175,,53466,18
3175,,53466,0
3175,,53466,0
3175,,53466,163
3175,,53466,37
3175,,53466,47
3175,,53466,34
3175,,53466,38
3175,,53466,11
3175,,53466,12
3175,,53466,0
3175,,53466,0
3175,,53466,40
3175,,53466,20
3175,,53466,68
3175,,53466,18
3175,,53466,8
3175,,53466,173
3175,,53466,101
3175,,53466,36
3175,,53466,0
3175,,53466,0
3175,,53466,39
3175,,53466,47
3175,,53466,31
3175,,53466,202
3175,,53466,70
3175,,53466,0
3175,,53466,73
3175,,53466,44
3175,,53466,62
3175,,53466,37
3175,,53466,1336
3175,,53466,45
3175,,53466,0
3175,,53466,45
3175,,53466,248
3175,,53466,20
3175,,53466,84
3175,,53466,17
3175,,53466,24
3175,,53466,68
3175,,53466,7
3175,,53466,0
3175,,53466,39
3175,,53466,152
3176,,42420,25
3176,,42420,0
3176,,42420,115
3176,,42420,269
3176,,42420,18
3176,,42420,0
3176,,42420,255
3176,,42420,0
3176,,42420,0
3176,,42420,17
3176,,42420,267
3176,,42420,122
3176,,42420,239
3176,,42420,9
3176,,42420,0
3176,,42420,2945
3176,,42420,7
3176,,42420,68
3176,,42420,8
3176,,42420,0
3176,,42420,121
3176,,42420,0
3176,,42420,76
3176,,42420,0
3176,,42420,6
3176,,42420,0
3176,,42420,31
3176,,42420,0
3176,,42420,30
3176,,42420,0
3176,,42420,131
3176,,42420,231
3176,,42420,18
3176,,42420,0
3176,,42420,0
3176,,42420,163
3176,,42420,37
3176,,42420,47
3176,,42420,34
3176,,42420,38
3176,,42420,11
3176,,42420,12
3176,,42420,0
3176,,42420,0
3176,,42420,40
3176,,42420,20
3176,,42420,68
3176,,42420,18
3176,,42420,8
3176,,42420,173
3176,,42420,101
3176,,42420,36
3176,,42420,0
3176,,42420,0
3176,,42420,39
3176,,42420,47
3176,,42420,31
3176,,42420,202
3176,,42420,70
3176,,42420,0
3176,,42420,73
3176,,42420,44
3176,,42420,62
3176,,42420,37
3176,,42420,1336
3176,,42420,45
3176,,42420,0
3176,,42420,45
3176,,42420,248
3176,,42420,20
3176,,42420,84
3176,,42420,17
3176,,42420,24
3176,,42420,68
3176,,42420,7
3176,,42420,0
3176,,42420,39
3176,,42420,152
3177,,14906,25
3177,,14906,0
3177,,14906,115
3177,,14906,269
3177,,14906,18
3177,,14906,0
3177,,14906,255
3177,,14906,0
3177,,14906,0
3177,,14906,17
3177,,14906,267
3177,,14906,122
3177,,14906,239
3177,,14906,9
3177,,14906,0
3177,,14906,2945
3177,,14906,7
3177,,14906,68
3177,,14906,8
3177,,14906,0
3177,,14906,121
3177,,14906,0
3177,,14906,76
3177,,14906,0
3177,,14906,6
3177,,14906,0
3177,,14906,31
3177,,14906,0
3177,,14906,30
3177,,14906,0
3177,,14906,131
3177,,14906,231
3177,,14906,18
3177,,14906,0
3177,,14906,0
3177,,14906,163
3177,,14906,37
3177,,14906,47
3177,,14906,34
3177,,14906,38
3177,,14906,11
3177,,14906,12
3177,,14906,0
3177,,14906,0
3177,,14906,40
3177,,14906,20
3177,,14906,68
3177,,14906,18
3177,,14906,8
3177,,14906,173
3177,,14906,101
3177,,14906,36
3177,,14906,0
3177,,14906,0
3177,,14906,39
3177,,14906,47
3177,,14906,31
3177,,14906,202
3177,,14906,70
3177,,14906,0
3177,,14906,73
3177,,14906,44
3177,,14906,62
3177,,14906,37
3177,,14906,1336
3177,,14906,45
3177,,14906,0
3177,,14906,45
3177,,14906,248
3177,,14906,20
3177,,14906,84
3177,,14906,17
3177,,14906,24
3177,,14906,68
3177,,14906,7
3177,,14906,0
3177,,14906,39
3177,,14906,152
3178,,46960,25
3178,,46960,0
3178,,46960,115
3178,,46960,269
3178,,46960,18
3178,,46960,0
3178,,46960,255
3178,,46960,0
3178,,46960,0
3178,,46960,17
3178,,46960,267
3178,,46960,122
3178,,46960,239
3178,,46960,9
3178,,46960,0
3178,,46960,2945
3178,,46960,7
3178,,46960,68
3178,,46960,8
3178,,46960,0
3178,,46960,121
3178,,46960,0
3178,,46960,76
3178,,46960,0
3178,,46960,6
3178,,46960,0
3178,,46960,31
3178,,46960,0
3178,,46960,30
3178,,46960,0
3178,,46960,131
3178,,46960,231
3178,,46960,18
3178,,46960,0
3178,,46960,0
3178,,46960,163
3178,,46960,37
3178,,46960,47
3178,,46960,34
3178,,46960,38
3178,,46960,11
3178,,46960,12
3178,,46960,0
3178,,46960,0
3178,,46960,40
3178,,46960,20
3178,,46960,68
3178,,46960,18
3178,,46960,8
3178,,46960,173
3178,,46960,101
3178,,46960,36
3178,,46960,0
3178,,46960,0
3178,,46960,39
3178,,46960,47
3178,,46960,31
3178,,46960,202
3178,,46960,70
3178,,46960,0
3178,,46960,73
3178,,46960,44
3178,,46960,62
3178,,46960,37
3178,,46960,1336
3178,,46960,45
3178,,46960,0
3178,,46960,45
3178,,46960,248
3178,,46960,20
3178,,46960,84
3178,,46960,17
3178,,46960,24
3178,,46960,68
3178,,46960,7
3178,,46960,0
3178,,46960,39
3178,,46960,152
3179,,39128,25
3179,,39128,0
3179,,39128,115
3179,,39128,269
3179,,39128,18
3179,,39128,0
3179,,39128,255
3179,,39128,0
3179,,39128,0
3179,,39128,17
3179,,39128,267
3179,,39128,122
3179,,39128,239
3179,,39128,9
3179,,39128,0
3179,,39128,2945
3179,,39128,7
3179,,39128,68
3179,,39128,8
3179,,39128,0
3179,,39128,121
3179,,39128,0
3179,,39128,76
3179,,39128,0
3179,,39128,6
3179,,39128,0
3179,,39128,31
3179,,39128,0
3179,,39128,30
3179,,39128,0
3179,,39128,131
3179,,39128,231
3179,,39128,18
3179,,39128,0
3179,,39128,0
3179,,39128,163
3179,,39128,37
3179,,39128,47
3179,,39128,34
3179,,39128,38
3179,,39128,11
3179,,39128,12
3179,,39128,0
3179,,39128,0
3179,,39128,40
3179,,39128,20
3179,,39128,68
3179,,39128,18
3179,,39128,8
3179,,39128,173
3179,,39128,101
3179,,39128,36
3179,,39128,0
3179,,39128,0
3179,,39128,39
3179,,39128,47
3179,,39128,31
3179,,39128,202
3179,,39128,70
3179,,39128,0
3179,,39128,73
3179,,39128,44
3179,,39128,62
3179,,39128,37
3179,,39128,1336
3179,,39128,45
3179,,39128,0
3179,,39128,45
3179,,39128,248
3179,,39128,20
3179,,39128,84
3179,,39128,17
3179,,39128,24
3179,,39128,68
3179,,39128,7
3179,,39128,0
3179,,39128,39
3179,,39128,152
3180,,23315,25
3180,,23315,0
3180,,23315,115
3180,,23315,269
3180,,23315,18
3180,,23315,0
3180,,23315,255
3180,,23315,0
3180,,23315,0
3180,,23315,17
3180,,23315,267
3180,,23315,122
3180,,23315,239
3180,,23315,9
3180,,23315,0
3180,,23315,2945
3180,,23315,7
3180,,23315,68
3180,,23315,8
3180,,23315,0
3180,,23315,121
3180,,23315,0
3180,,23315,76
3180,,23315,0
3180,,23315,6
3180,,23315,0
3180,,23315,31
3180,,23315,0
3180,,23315,30
3180,,23315,0
3180,,23315,131
3180,,23315,231
3180,,23315,18
3180,,23315,0
3180,,23315,0
3180,,23315,163
3180,,23315,37
3180,,23315,47
3180,,23315,34
3180,,23315,38
3180,,23315,11
3180,,23315,12
3180,,23315,0
3180,,23315,0
3180,,23315,40
3180,,23315,20
3180,,23315,68
3180,,23315,18
3180,,23315,8
3180,,23315,173
3180,,23315,101
3180,,23315,36
3180,,23315,0
3180,,23315,0
3180,,23315,39
3180,,23315,47
3180,,23315,31
3180,,23315,202
3180,,23315,70
3180,,23315,0
3180,,23315,73
3180,,23315,44
3180,,23315,62
3180,,23315,37
3180,,23315,1336
3180,,23315,45
3180,,23315,0
3180,,23315,45
3180,,23315,248
3180,,23315,20
3180,,23315,84
3180,,23315,17
3180,,23315,24
3180,,23315,68
3180,,23315,7
3180,,23315,0
3180,,23315,39
3180,,23315,152
3181,,26451,25
3181,,26451,0
3181,,26451,115
3181,,26451,269
3181,,26451,18
3181,,26451,0
3181,,26451,255
3181,,26451,0
3181,,26451,0
3181,,26451,17
3181,,26451,267
3181,,26451,122
3181,,26451,239
3181,,26451,9
3181,,26451,0
3181,,26451,2945
3181,,26451,7
3181,,26451,68
3181,,26451,8
3181,,26451,0
3181,,26451,121
3181,,26451,0
3181,,26451,76
3181,,26451,0
3181,,26451,6
3181,,26451,0
3181,,26451,31
3181,,26451,0
3181,,26451,30
3181,,26451,0
3181,,26451,131
3181,,26451,231
3181,,26451,18
3181,,26451,0
3181,,26451,0
3181,,26451,163
3181,,26451,37
3181,,26451,47
3181,,26451,34
3181,,26451,38
3181,,26451,11
3181,,26451,12
3181,,26451,0
3181,,26451,0
3181,,26451,40
3181,,26451,20
3181,,26451,68
3181,,26451,18
3181,,26451,8
3181,,26451,173
3181,,26451,101
3181,,26451,36
3181,,26451,0
3181,,26451,0
3181,,26451,39
3181,,26451,47
3181,,26451,31
3181,,26451,202
3181,,26451,70
3181,,26451,0
3181,,26451,73
3181,,26451,44
3181,,26451,62
3181,,26451,37
3181,,26451,1336
3181,,26451,45
3181,,26451,0
3181,,26451,45
3181,,26451,248
3181,,26451,20
3181,,26451,84
3181,,26451,17
3181,,26451,24
3181,,26451,68
3181,,26451,7
3181,,26451,0
3181,,26451,39
3181,,26451,152
3182,,8599,25
3182,,8599,0
3182,,8599,115
3182,,8599,269
3182,,8599,18
3182,,8599,0
3182,,8599,255
3182,,8599,0
3182,,8599,0
3182,,8599,17
3182,,8599,267
3182,,8599,122
3182,,8599,239
3182,,8599,9
3182,,8599,0
3182,,8599,2945
3182,,8599,7
3182,,8599,68
3182,,8599,8
3182,,8599,0
3182,,8599,121
3182,,8599,0
3182,,8599,76
3182,,8599,0
3182,,8599,6
3182,,8599,0
3182,,8599,31
3182,,8599,0
3182,,8599,30
3182,,8599,0
3182,,8599,131
3182,,8599,231
3182,,8599,18
3182,,8599,0
3182,,8599,0
3182,,8599,163
3182,,8599,37
3182,,8599,47
3182,,8599,34
3182,,8599,38
3182,,8599,11
3182,,8599,12
3182,,8599,0
3182,,8599,0
3182,,8599,40
3182,,8599,20
3182,,8599,68
3182,,8599,18
3182,,8599,8
3182,,8599,173
3182,,8599,101
3182,,8599,36
3182,,8599,0
3182,,8599,0
3182,,8599,39
3182,,8599,47
3182,,8599,31
3182,,8599,202
3182,,8599,70
3182,,8599,0
3182,,8599,73
3182,,8599,44
3182,,8599,62
3182,,8599,37
3182,,8599,1336
3182,,8599,45
3182,,8599,0
3182,,8599,45
3182,,8599,248
3182,,8599,20
3182,,8599,84
3182,,8599,17
3182,,8599,24
3182,,8599,68
3182,,8599,7
3182,,8599,0
3182,,8599,39
3182,,8599,152
3183,,37768,25
3183,,37768,0
3183,,37768,115
3183,,37768,269
3183,,37768,18
3183,,37768,0
3183,,37768,255
3183,,37768,0
3183,,37768,0
3183,,37768,17
3183,,37768,267
3183,,37768,122
3183,,37768,239
3183,,37768,9
3183,,37768,0
3183,,37768,2945
3183,,37768,7
3183,,37768,68
3183,,37768,8
3183,,37768,0
3183,,37768,121
3183,,37768,0
3183,,37768,76
3183,,37768,0
3183,,37768,6
3183,,37768,0
3183,,37768,31
3183,,37768,0
3183,,37768,30
3183,,37768,0
3183,,37768,131
3183,,37768,231
3183,,37768,18
3183,,37768,0
3183,,37768,0
3183,,37768,163
3183,,37768,37
3183,,37768,47
3183,,37768,34
3183,,37768,38
3183,,37768,11
3183,,37768,12
3183,,37768,0
3183,,37768,0
3183,,37768,40
3183,,37768,20
3183,,37768,68
3183,,37768,18
3183,,37768,8
3183,,37768,173
3183,,37768,101
3183,,37768,36
3183,,37768,0
3183,,37768,0
3183,,37768,39
3183,,37768,47
3183,,37768,31
3183,,37768,202
3183,,37768,70
3183,,37768,0
3183,,37768,73
3183,,37768,44
3183,,37768,62
3183,,37768,37
3183,,37768,1336
3183,,37768,45
3183,,37768,0
3183,,37768,45
3183,,37768,248
3183,,37768,20
3183,,37768,84
3183,,37768,17
3183,,37768,24
3183,,37768,68
3183,,37768,7
3183,,37768,0
3183,,37768,39
3183,,37768,152
3184,,26463,25
3184,,26463,0
3184,,26463,115
3184,,26463,269
3184,,26463,18
3184,,26463,0
3184,,26463,255
3184,,26463,0
3184,,26463,0
3184,,26463,17
3184,,26463,267
3184,,26463,122
3184,,26463,239
3184,,26463,9
3184,,26463,0
3184,,26463,2945
3184,,26463,7
3184,,26463,68
3184,,26463,8
3184,,26463,0
3184,,26463,121
3184,,26463,0
3184,,26463,76
3184,,26463,0
3184,,26463,6
3184,,26463,0
3184,,26463,31
3184,,26463,0
3184,,26463,30
3184,,26463,0
3184,,26463,131
3184,,26463,231
3184,,26463,18
3184,,26463,0
3184,,26463,0
3184,,26463,163
3184,,26463,37
3184,,26463,47
3184,,26463,34
3184,,26463,38
3184,,26463,11
3184,,26463,12
3184,,26463,0
3184,,26463,0
3184,,26463,40
3184,,26463,20
3184,,26463,68
3184,,26463,18
3184,,26463,8
3184,,26463,173
3184,,26463,101
3184,,26463,36
3184,,26463,0
3184,,26463,0
3184,,26463,39
3184,,26463,47
3184,,26463,31
3184,,26463,202
3184,,26463,70
3184,,26463,0
3184,,26463,73
3184,,26463,44
3184,,26463,62
3184,,26463,37
3184,,26463,1336
3184,,26463,45
3184,,26463,0
3184,,26463,45
3184,,26463,248
3184,,26463,20
3184,,26463,84
3184,,26463,17
3184,,26463,24
3184,,26463,68
3184,,26463,7
3184,,26463,0
3184,,26463,39
3184,,26463,152
3185,,18547,25
3185,,18547,0
3185,,18547,115
3185,,18547,269
3185,,18547,18
3185,,18547,0
3185,,18547,255
3185,,18547,0
3185,,18547,0
3185,,18547,17
3185,,18547,267
3185,,18547,122
3185,,18547,239
3185,,18547,9
3185,,18547,0
3185,,18547,2945
3185,,18547,7
3185,,18547,68
3185,,18547,8
3185,,18547,0
3185,,18547,121
3185,,18547,0
3185,,18547,76
3185,,18547,0
3185,,18547,6
3185,,18547,0
3185,,18547,31
3185,,18547,0
3185,,18547,30
3185,,18547,0
3185,,18547,131
3185,,18547,231
3185,,18547,18
3185,,18547,0
3185,,18547,0
3185,,18547,163
3185,,18547,37
3185,,18547,47
3185,,18547,34
3185,,18547,38
3185,,18547,11
3185,,18547,12
3185,,18547,0
3185,,18547,0
3185,,18547,40
3185,,18547,20
3185,,18547,68
3185,,18547,18
3185,,18547,8
3185,,18547,173
3185,,18547,101
3185,,18547,36
3185,,18547,0
3185,,18547,0
3185,,18547,39
3185,,18547,47
3185,,18547,31
3185,,18547,202
3185,,18547,70
3185,,18547,0
3185,,18547,73
3185,,18547,44
3185,,18547,62
3185,,18547,37
3185,,18547,1336
3185,,18547,45
3185,,18547,0
3185,,18547,45
3185,,18547,248
3185,,18547,20
3185,,18547,84
3185,,18547,17
3185,,18547,24
3185,,18547,68
3185,,18547,7
3185,,18547,0
3185,,18547,39
3185,,18547,152
3186,,39692,25
3186,,39692,0
3186,,39692,115
3186,,39692,269
3186,,39692,18
3186,,39692,0
3186,,39692,255
3186,,39692,0
3186,,39692,0
3186,,39692,17
3186,,39692,267
3186,,39692,122
3186,,39692,239
3186,,39692,9
3186,,39692,0
3186,,39692,2945
3186,,39692,7
3186,,39692,68
3186,,39692,8
3186,,39692,0
3186,,39692,121
3186,,39692,0
3186,,39692,76
3186,,39692,0
3186,,39692,6
3186,,39692,0
3186,,39692,31
3186,,39692,0
3186,,39692,30
3186,,39692,0
3186,,39692,131
3186,,39692,231
3186,,39692,18
3186,,39692,0
3186,,39692,0
3186,,39692,163
3186,,39692,37
3186,,39692,47
3186,,39692,34
3186,,39692,38
3186,,39692,11
3186,,39692,12
3186,,39692,0
3186,,39692,0
3186,,39692,40
3186,,39692,20
3186,,39692,68
3186,,39692,18
3186,,39692,8
3186,,39692,173
3186,,39692,101
3186,,39692,36
3186,,39692,0
3186,,39692,0
3186,,39692,39
3186,,39692,47
3186,,39692,31
3186,,39692,202
3186,,39692,70
3186,,39692,0
3186,,39692,73
3186,,39692,44
3186,,39692,62
3186,,39692,37
3186,,39692,1336
3186,,39692,45
3186,,39692,0
3186,,39692,45
3186,,39692,248
3186,,39692,20
3186,,39692,84
3186,,39692,17
3186,,39692,24
3186,,39692,68
3186,,39692,7
3186,,39692,0
3186,,39692,39
3186,,39692,152
3187,,6202,25
3187,,6202,0
3187,,6202,115
3187,,6202,269
3187,,6202,18
3187,,6202,0
3187,,6202,255
3187,,6202,0
3187,,6202,0
3187,,6202,17
3187,,6202,267
3187,,6202,122
3187,,6202,239
3187,,6202,9
3187,,6202,0
3187,,6202,2945
3187,,6202,7
3187,,6202,68
3187,,6202,8
3187,,6202,0
3187,,6202,121
3187,,6202,0
3187,,6202,76
3187,,6202,0
3187,,6202,6
3187,,6202,0
3187,,6202,31
3187,,6202,0
3187,,6202,30
3187,,6202,0
3187,,6202,131
3187,,6202,231
3187,,6202,18
3187,,6202,0
3187,,6202,0
3187,,6202,163
3187,,6202,37
3187,,6202,47
3187,,6202,34
3187,,6202,38
3187,,6202,11
3187,,6202,12
3187,,6202,0
3187,,6202,0
3187,,6202,40
3187,,6202,20
3187,,6202,68
3187,,6202,18
3187,,6202,8
3187,,6202,173
3187,,6202,101
3187,,6202,36
3187,,6202,0
3187,,6202,0
3187,,6202,39
3187,,6202,47
3187,,6202,31
3187,,6202,202
3187,,6202,70
3187,,6202,0
3187,,6202,73
3187,,6202,44
3187,,6202,62
3187,,6202,37
3187,,6202,1336
3187,,6202,45
3187,,6202,0
3187,,6202,45
3187,,6202,248
3187,,6202,20
3187,,6202,84
3187,,6202,17
3187,,6202,24
3187,,6202,68
3187,,6202,7
3187,,6202,0
3187,,6202,39
3187,,6202,152
3188,,11023,25
3188,,11023,0
3188,,11023,115
3188,,11023,269
3188,,11023,18
3188,,11023,0
3188,,11023,255
3188,,11023,0
3188,,11023,0
3188,,11023,17
3188,,11023,267
3188,,11023,122
3188,,11023,239
3188,,11023,9
3188,,11023,0
3188,,11023,2945
3188,,11023,7
3188,,11023,68
3188,,11023,8
3188,,11023,0
3188,,11023,121
3188,,11023,0
3188,,11023,76
3188,,11023,0
3188,,11023,6
3188,,11023,0
3188,,11023,31
3188,,11023,0
3188,,11023,30
3188,,11023,0
3188,,11023,131
3188,,11023,231
3188,,11023,18
3188,,11023,0
3188,,11023,0
3188,,11023,163
3188,,11023,37
3188,,11023,47
3188,,11023,34
3188,,11023,38
3188,,11023,11
3188,,11023,12
3188,,11023,0
3188,,11023,0
3188,,11023,40
3188,,11023,20
3188,,11023,68
3188,,11023,18
3188,,11023,8
3188,,11023,173
3188,,11023,101
3188,,11023,36
3188,,11023,0
3188,,11023,0
3188,,11023,39
3188,,11023,47
3188,,11023,31
3188,,11023,202
3188,,11023,70
3188,,11023,0
3188,,11023,73
3188,,11023,44
3188,,11023,62
3188,,11023,37
3188,,11023,1336
3188,,11023,45
3188,,11023,0
3188,,11023,45
3188,,11023,248
3188,,11023,20
3188,,11023,84
3188,,11023,17
3188,,11023,24
3188,,11023,68
3188,,11023,7
3188,,11023,0
3188,,11023,39
3188,,11023,152
3189,,77255,25
3189,,77255,0
3189,,77255,115
3189,,77255,269
3189,,77255,18
3189,,77255,0
3189,,77255,255
3189,,77255,0
3189,,77255,0
3189,,77255,17
3189,,77255,267
3189,,77255,122
3189,,77255,239
3189,,77255,9
3189,,77255,0
3189,,77255,2945
3189,,77255,7
3189,,77255,68
3189,,77255,8
3189,,77255,0
3189,,77255,121
3189,,77255,0
3189,,77255,76
3189,,77255,0
3189,,77255,6
3189,,77255,0
3189,,77255,31
3189,,77255,0
3189,,77255,30
3189,,77255,0
3189,,77255,131
3189,,77255,231
3189,,77255,18
3189,,77255,0
3189,,77255,0
3189,,77255,163
3189,,77255,37
3189,,77255,47
3189,,77255,34
3189,,77255,38
3189,,77255,11
3189,,77255,12
3189,,77255,0
3189,,77255,0
3189,,77255,40
3189,,77255,20
3189,,77255,68
3189,,77255,18
3189,,77255,8
3189,,77255,173
3189,,77255,101
3189,,77255,36
3189,,77255,0
3189,,77255,0
3189,,77255,39
3189,,77255,47
3189,,77255,31
3189,,77255,202
3189,,77255,70
3189,,77255,0
3189,,77255,73
3189,,77255,44
3189,,77255,62
3189,,77255,37
3189,,77255,1336
3189,,77255,45
3189,,77255,0
3189,,77255,45
3189,,77255,248
3189,,77255,20
3189,,77255,84
3189,,77255,17
3189,,77255,24
3189,,77255,68
3189,,77255,7
3189,,77255,0
3189,,77255,39
3189,,77255,152
3190,,36872,25
3190,,36872,0
3190,,36872,115
3190,,36872,269
3190,,36872,18
3190,,36872,0
3190,,36872,255
3190,,36872,0
3190,,36872,0
3190,,36872,17
3190,,36872,267
3190,,36872,122
3190,,36872,239
3190,,36872,9
3190,,36872,0
3190,,36872,2945
3190,,36872,7
3190,,36872,68
3190,,36872,8
3190,,36872,0
3190,,36872,121
3190,,36872,0
3190,,36872,76
3190,,36872,0
3190,,36872,6
3190,,36872,0
3190,,36872,31
3190,,36872,0
3190,,36872,30
3190,,36872,0
3190,,36872,131
3190,,36872,231
3190,,36872,18
3190,,36872,0
3190,,36872,0
3190,,36872,163
3190,,36872,37
3190,,36872,47
3190,,36872,34
3190,,36872,38
3190,,36872,11
3190,,36872,12
3190,,36872,0
3190,,36872,0
3190,,36872,40
3190,,36872,20
3190,,36872,68
3190,,36872,18
3190,,36872,8
3190,,36872,173
3190,,36872,101
3190,,36872,36
3190,,36872,0
3190,,36872,0
3190,,36872,39
3190,,36872,47
3190,,36872,31
3190,,36872,202
3190,,36872,70
3190,,36872,0
3190,,36872,73
3190,,36872,44
3190,,36872,62
3190,,36872,37
3190,,36872,1336
3190,,36872,45
3190,,36872,0
3190,,36872,45
3190,,36872,248
3190,,36872,20
3190,,36872,84
3190,,36872,17
3190,,36872,24
3190,,36872,68
3190,,36872,7
3190,,36872,0
3190,,36872,39
3190,,36872,152
3191,,31320,25
3191,,31320,0
3191,,31320,115
3191,,31320,269
3191,,31320,18
3191,,31320,0
3191,,31320,255
3191,,31320,0
3191,,31320,0
3191,,31320,17
3191,,31320,267
3191,,31320,122
3191,,31320,239
3191,,31320,9
3191,,31320,0
3191,,31320,2945
3191,,31320,7
3191,,31320,68
3191,,31320,8
3191,,31320,0
3191,,31320,121
3191,,31320,0
3191,,31320,76
3191,,31320,0
3191,,31320,6
3191,,31320,0
3191,,31320,31
3191,,31320,0
3191,,31320,30
3191,,31320,0
3191,,31320,131
3191,,31320,231
3191,,31320,18
3191,,31320,0
3191,,31320,0
3191,,31320,163
3191,,31320,37
3191,,31320,47
3191,,31320,34
3191,,31320,38
3191,,31320,11
3191,,31320,12
3191,,31320,0
3191,,31320,0
3191,,31320,40
3191,,31320,20
3191,,31320,68
3191,,31320,18
3191,,31320,8
3191,,31320,173
3191,,31320,101
3191,,31320,36
3191,,31320,0
3191,,31320,0
3191,,31320,39
3191,,31320,47
3191,,31320,31
3191,,31320,202
3191,,31320,70
3191,,31320,0
3191,,31320,73
3191,,31320,44
3191,,31320,62
3191,,31320,37
3191,,31320,1336
3191,,31320,45
3191,,31320,0
3191,,31320,45
3191,,31320,248
3191,,31320,20
3191,,31320,84
3191,,31320,17
3191,,31320,24
3191,,31320,68
3191,,31320,7
3191,,31320,0
3191,,31320,39
3191,,31320,152
3192,,26266,25
3192,,26266,0
3192,,26266,115
3192,,26266,269
3192,,26266,18
3192,,26266,0
3192,,26266,255
3192,,26266,0
3192,,26266,0
3192,,26266,17
3192,,26266,267
3192,,26266,122
3192,,26266,239
3192,,26266,9
3192,,26266,0
3192,,26266,2945
3192,,26266,7
3192,,26266,68
3192,,26266,8
3192,,26266,0
3192,,26266,121
3192,,26266,0
3192,,26266,76
3192,,26266,0
3192,,26266,6
3192,,26266,0
3192,,26266,31
3192,,26266,0
3192,,26266,30
3192,,26266,0
3192,,26266,131
3192,,26266,231
3192,,26266,18
3192,,26266,0
3192,,26266,0
3192,,26266,163
3192,,26266,37
3192,,26266,47
3192,,26266,34
3192,,26266,38
3192,,26266,11
3192,,26266,12
3192,,26266,0
3192,,26266,0
3192,,26266,40
3192,,26266,20
3192,,26266,68
3192,,26266,18
3192,,26266,8
3192,,26266,173
3192,,26266,101
3192,,26266,36
3192,,26266,0
3192,,26266,0
3192,,26266,39
3192,,26266,47
3192,,26266,31
3192,,26266,202
3192,,26266,70
3192,,26266,0
3192,,26266,73
3192,,26266,44
3192,,26266,62
3192,,26266,37
3192,,26266,1336
3192,,26266,45
3192,,26266,0
3192,,26266,45
3192,,26266,248
3192,,26266,20
3192,,26266,84
3192,,26266,17
3192,,26266,24
3192,,26266,68
3192,,26266,7
3192,,26266,0
3192,,26266,39
3192,,26266,152
3193,,28557,25
3193,,28557,0
3193,,28557,115
3193,,28557,269
3193,,28557,18
3193,,28557,0
3193,,28557,255
3193,,28557,0
3193,,28557,0
3193,,28557,17
3193,,28557,267
3193,,28557,122
3193,,28557,239
3193,,28557,9
3193,,28557,0
3193,,28557,2945
3193,,28557,7
3193,,28557,68
3193,,28557,8
3193,,28557,0
3193,,28557,121
3193,,28557,0
3193,,28557,76
3193,,28557,0
3193,,28557,6
3193,,28557,0
3193,,28557,31
3193,,28557,0
3193,,28557,30
3193,,28557,0
3193,,28557,131
3193,,28557,231
3193,,28557,18
3193,,28557,0
3193,,28557,0
3193,,28557,163
3193,,28557,37
3193,,28557,47
3193,,28557,34
3193,,28557,38
3193,,28557,11
3193,,28557,12
3193,,28557,0
3193,,28557,0
3193,,28557,40
3193,,28557,20
3193,,28557,68
3193,,28557,18
3193,,28557,8
3193,,28557,173
3193,,28557,101
3193,,28557,36
3193,,28557,0
3193,,28557,0
3193,,28557,39
3193,,28557,47
3193,,28557,31
3193,,28557,202
3193,,28557,70
3193,,28557,0
3193,,28557,73
3193,,28557,44
3193,,28557,62
3193,,28557,37
3193,,28557,1336
3193,,28557,45
3193,,28557,0
3193,,28557,45
3193,,28557,248
3193,,28557,20
3193,,28557,84
3193,,28557,17
3193,,28557,24
3193,,28557,68
3193,,28557,7
3193,,28557,0
3193,,28557,39
3193,,28557,152
3194,,21407,25
3194,,21407,0
3194,,21407,115
3194,,21407,269
3194,,21407,18
3194,,21407,0
3194,,21407,255
3194,,21407,0
3194,,21407,0
3194,,21407,17
3194,,21407,267
3194,,21407,122
3194,,21407,239
3194,,21407,9
3194,,21407,0
3194,,21407,2945
3194,,21407,7
3194,,21407,68
3194,,21407,8
3194,,21407,0
3194,,21407,121
3194,,21407,0
3194,,21407,76
3194,,21407,0
3194,,21407,6
3194,,21407,0
3194,,21407,31
3194,,21407,0
3194,,21407,30
3194,,21407,0
3194,,21407,131
3194,,21407,231
3194,,21407,18
3194,,21407,0
3194,,21407,0
3194,,21407,163
3194,,21407,37
3194,,21407,47
3194,,21407,34
3194,,21407,38
3194,,21407,11
3194,,21407,12
3194,,21407,0
3194,,21407,0
3194,,21407,40
3194,,21407,20
3194,,21407,68
3194,,21407,18
3194,,21407,8
3194,,21407,173
3194,,21407,101
3194,,21407,36
3194,,21407,0
3194,,21407,0
3194,,21407,39
3194,,21407,47
3194,,21407,31
3194,,21407,202
3194,,21407,70
3194,,21407,0
3194,,21407,73
3194,,21407,44
3194,,21407,62
3194,,21407,37
3194,,21407,1336
3194,,21407,45
3194,,21407,0
3194,,21407,45
3194,,21407,248
3194,,21407,20
3194,,21407,84
3194,,21407,17
3194,,21407,24
3194,,21407,68
3194,,21407,7
3194,,21407,0
3194,,21407,39
3194,,21407,152
3195,,17334,25
3195,,17334,0
3195,,17334,115
