,GEO_NAME,County_Population
664,"Ogle County, IL",51328
665,"Peoria County, IL",184463
666,"Perry County, IL",21384
667,"Piatt County, IL",16427
668,"Pike County, IL",15754
669,"Pope County, IL",4249
670,"Pulaski County, IL",5611
671,"Putnam County, IL",5746
672,"Randolph County, IL",32546
673,"Richland County, IL",15881
674,"Rock Island County, IL",145275
675,"St. Clair County, IL",263463
676,"Saline County, IL",24231
677,"Sangamon County, IL",197661
678,"Schuyler County, IL",7064
679,"Scott County, IL",5047
680,"Shelby County, IL",21832
681,"Stark County, IL",5500
682,"Stephenson County, IL",45433
683,"Tazewell County, IL",133852
684,"Union County, IL",17127
685,"Vermilion County, IL",78407
686,"Wabash County, IL",11573
687,"Warren County, IL",17338
688,"Washington County, IL",14155
689,"Wayne County, IL",16487
690,"White County, IL",14025
691,"Whiteside County, IL",56396
692,"Will County, IL",688697
693,"Williamson County, IL",67299
694,"Winnebago County, IL",286174
695,"Woodford County, IL",38817
696,"Adams County, IN",35195
697,"Allen County, IN",370016
698,"Bartholomew County, IN",81893
699,"Benton County, IN",8667
700,"Blackford County, IN",12129
701,"Boone County, IN",64321
702,"Brown County, IN",15034
703,"Carroll County, IN",19994
704,"Cass County, IN",38084
705,"Clark County, IN",115702
706,"Clay County, IN",26268
707,"Clinton County, IN",32301
708,"Crawford County, IN",10581
709,"Daviess County, IN",32937
710,"Dearborn County, IN",49501
711,"Decatur County, IN",26552
712,"DeKalb County, IN",42704
713,"Delaware County, IN",115616
714,"Dubois County, IN",42418
715,"Elkhart County, IN",203604
716,"Fayette County, IN",23259
717,"Floyd County, IN",76809
718,"Fountain County, IN",16486
719,"Franklin County, IN",22842
720,"Fulton County, IN",20212
721,"Gibson County, IN",33596
722,"Grant County, IN",66944
723,"Greene County, IN",32295
724,"Hamilton County, IN",316095
725,"Hancock County, IN",73830
726,"Harrison County, IN",39712
727,"Hendricks County, IN",160940
728,"Henry County, IN",48483
729,"Howard County, IN",82387
730,"Huntington County, IN",36378
731,"Jackson County, IN",43938
732,"Jasper County, IN",33449
733,"Jay County, IN",20993
734,"Jefferson County, IN",32237
735,"Jennings County, IN",27727
736,"Johnson County, IN",151564
737,"Knox County, IN",37409
738,"Kosciusko County, IN",78806
739,"LaGrange County, IN",38942
740,"Lake County, IN",486849
741,"LaPorte County, IN",110552
742,"Lawrence County, IN",45619
743,"Madison County, IN",129505
744,"Marion County, IN",944523
745,"Marshall County, IN",46595
746,"Martin County, IN",10210
747,"Miami County, IN",35901
748,"Monroe County, IN",145403
749,"Montgomery County, IN",38276
750,"Morgan County, IN",69727
751,"Newton County, IN",14018
752,"Noble County, IN",47451
753,"Ohio County, IN",5887
754,"Orange County, IN",19547
755,"Owen County, IN",20878
756,"Parke County, IN",16996
757,"Perry County, IN",19141
758,"Pike County, IN",12411
759,"Porter County, IN",168041
760,"Posey County, IN",25589
761,"Pulaski County, IN",12660
762,"Putnam County, IN",37559
763,"Randolph County, IN",25076
764,"Ripley County, IN",28425
765,"Rush County, IN",16704
766,"St. Joseph County, IN",269240
767,"Scott County, IN",23743
768,"Shelby County, IN",44399
769,"Spencer County, IN",20526
770,"Starke County, IN",22941
771,"Steuben County, IN",34474
772,"Sullivan County, IN",20792
773,"Switzerland County, IN",10628
774,"Tippecanoe County, IN",189294
775,"Tipton County, IN",15218
776,"Union County, IN",7153
777,"Vanderburgh County, IN",181313
778,"Vermillion County, IN",15560
779,"Vigo County, IN",107693
780,"Wabash County, IN",31631
781,"Warren County, IN",8247
782,"Warrick County, IN",61928
783,"Washington County, IN",27827
784,"Wayne County, IN",66613
785,"Wells County, IN",27947
786,"White County, IN",24217
787,"Whitley County, IN",33649
788,"Adair County, IA",7124
789,"Adams County, IA",3726
790,"Allamakee County, IA",13880
791,"Appanoose County, IA",12510
792,"Audubon County, IA",5637
793,"Benton County, IA",25626
794,"Black Hawk County, IA",133009
795,"Boone County, IA",26399
796,"Bremer County, IA",24782
797,"Buchanan County, IA",21125
798,"Buena Vista County, IA",20260
