,ctname,Predrt_1_2
187981,"Cannon County, TN",44.14
187993,"Carroll County, TN",46.76
188020,"Carter County, TN",44.91
188074,"Cheatham County, TN",48.58
188104,"Chester County, TN",43.38
188116,"Claiborne County, TN",43.99
188146,"Clay County, TN",46.5
188155,"Cocke County, TN",45.72
188185,"Coffee County, TN",47.47
188224,"Crockett County, TN",47.55
188242,"Cumberland County, TN",42.66
188287,"Davidson County, TN",49.61
188773,"Decatur County, TN",42.0
188788,"DeKalb County, TN",42.29
188803,"Dickson County, TN",47.31
188836,"Dyer County, TN",44.81
188863,"Fayette County, TN",44.32
188899,"Fentress County, TN",47.21
188914,"Franklin County, TN",43.1
188944,"Gibson County, TN",47.62
188989,"Giles County, TN",44.17
189016,"Grainger County, TN",42.72
189034,"Greene County, TN",44.9
189082,"Grundy County, TN",43.99
189097,"Hamblen County, TN",41.98
189136,"Hamilton County, TN",45.02
189385,"Hancock County, TN",44.29
189394,"Hardeman County, TN",47.22
189415,"Hardin County, TN",44.37
189436,"Hawkins County, TN",43.82
189478,"Haywood County, TN",47.51
189499,"Henderson County, TN",48.39
189520,"Henry County, TN",42.88
189550,"Hickman County, TN",46.17
189571,"Houston County, TN",47.99
189583,"Humphreys County, TN",50.56
189601,"Jackson County, TN",43.83
189616,"Jefferson County, TN",45.1
189646,"Johnson County, TN",45.77
189664,"Knox County, TN",46.04
190003,"Lake County, TN",45.0
190012,"Lauderdale County, TN",46.73
190042,"Lawrence County, TN",42.87
190078,"Lewis County, TN",49.43
190087,"Lincoln County, TN",45.08
190117,"Loudon County, TN",44.48
190150,"McMinn County, TN",46.39
190183,"McNairy County, TN",44.62
190207,"Macon County, TN",45.3
190222,"Madison County, TN",46.3
190306,"Marion County, TN",44.79
190327,"Marshall County, TN",45.01
190348,"Maury County, TN",46.43
190402,"Meigs County, TN",48.89
190414,"Monroe County, TN",43.86
190438,"Montgomery County, TN",48.9
190558,"Moore County, TN",47.64
190567,"Morgan County, TN",44.36
190585,"Obion County, TN",45.96
190618,"Overton County, TN",44.58
190642,"Perry County, TN",45.79
190651,"Pickett County, TN",43.98
190657,"Polk County, TN",48.4
190675,"Putnam County, TN",47.08
190723,"Rhea County, TN",46.14
190744,"Roane County, TN",42.66
190780,"Robertson County, TN",46.61
190825,"Rutherford County, TN",49.24
190975,"Scott County, TN",43.44
190993,"Sequatchie County, TN",44.56
191005,"Sevier County, TN",47.78
191062,"Shelby County, TN",49.17
191728,"Smith County, TN",46.0
191746,"Stewart County, TN",42.83
191764,"Sullivan County, TN",44.34
191884,"Sumner County, TN",45.68
192013,"Tipton County, TN",46.43
192055,"Trousdale County, TN",46.02
192064,"Unicoi County, TN",42.73
192079,"Union County, TN",50.37
192094,"Van Buren County, TN",43.73
192103,"Warren County, TN",44.11
192133,"Washington County, TN",44.27
192205,"Wayne County, TN",45.4
192220,"Weakley County, TN",47.58
192256,"White County, TN",42.88
192277,"Williamson County, TN",43.02
192391,"Wilson County, TN",45.7
192457,"Anderson County, TX",49.17
192493,"Andrews County, TX",63.78
192508,"Angelina County, TX",49.71
192562,"Aransas County, TX",50.68
192583,"Archer County, TX",45.9
192595,"Armstrong County, TX",51.69
192601,"Atascosa County, TX",51.81
192628,"Austin County, TX",48.89
192649,"Bailey County, TX",58.47
192655,"Bandera County, TX",45.51
192673,"Bastrop County, TX",52.59
192706,"Baylor County, TX",45.42
192712,"Bee County, TX",49.54
192736,"Bell County, TX",56.96
192934,"Bexar County, TX",54.26
194035,"Blanco County, TX",46.08
194044,"Borden County, TX",53.7
194050,"Bosque County, TX",47.18
194074,"Bowie County, TX",48.19
194131,"Brazoria County, TX",50.1
194287,"Brazos County, TX",55.86
194416,"Brewster County, TX",50.74
194428,"Briscoe County, TX",44.66
194434,"Brooks County, TX",52.89
194443,"Brown County, TX",51.02
194482,"Burleson County, TX",54.12
194500,"Burnet County, TX",50.3
194527,"Caldwell County, TX",48.15
194554,"Calhoun County, TX",51.44
194575,"Callahan County, TX",48.96
194587,"Cameron County, TX",52.6
194851,"Camp County, TX",51.9
194863,"Carson County, TX",43.69
194872,"Cass County, TX",49.4
194896,"Castro County, TX",51.73
194908,"Chambers County, TX",46.69
194932,"Cherokee County, TX",49.42
194971,"Childress County, TX",49.72
194980,"Clay County, TX",52.32
194992,"Cochran County, TX",44.13
194998,"Coke County, TX",45.28
195007,"Coleman County, TX",50.58
195019,"Collin County, TX",61.29
195478,"Collingsworth County, TX",45.58
195484,"Colorado County, TX",48.91
195502,"Comal County, TX",50.36
195577,"Comanche County, TX",50.36
195592,"Concho County, TX",45.61
195598,"Cooke County, TX",48.27
195625,"Coryell County, TX",53.06
195685,"Cottle County, TX",44.49
195691,"Crane County, TX",49.96
195697,"Crockett County, TX",48.73
195703,"Crosby County, TX",45.87
195715,"Culberson County, TX",43.8
195721,"Dallam County, TX",53.77
195730,"Dallas County, TX",58.43
197320,"Dawson County, TX",46.24
197335,"Deaf Smith County, TX",59.81
197350,"Delta County, TX",56.18
197359,"Denton County, TX",59.4
197773,"DeWitt County, TX",46.55
197791,"Dickens County, TX",54.19
197797,"Dimmit County, TX",46.25
197806,"Donley County, TX",50.94
197815,"Duval County, TX",53.51
197827,"Eastland County, TX",50.15
197845,"Ector County, TX",59.33
197932,"Edwards County, TX",42.8
197938,"Ellis County, TX",48.66
198034,"El Paso County, TX",54.62
198520,"Erath County, TX",50.2
198547,"Falls County, TX",50.24
198568,"Fannin County, TX",50.02
198598,"Fayette County, TX",45.45
198622,"Fisher County, TX",42.41
198631,"Floyd County, TX",47.42
198640,"Foard County, TX",44.83
198646,"Fort Bend County, TX",52.7
198877,"Franklin County, TX",51.38
198889,"Freestone County, TX",45.49
198913,"Frio County, TX",47.26
198925,"Gaines County, TX",52.64
198937,"Galveston County, TX",48.55
199141,"Garza County, TX",53.61
199147,"Gillespie County, TX",43.89
199165,"Glasscock County, TX",59.01
199171,"Goliad County, TX",44.45
199180,"Gonzales County, TX",49.61
199201,"Gray County, TX",46.43
199225,"Grayson County, TX",49.33
199306,"Gregg County, TX",50.3
199384,"Grimes County, TX",47.99
199405,"Guadalupe County, TX",52.32
199495,"Hale County, TX",54.03
199525,"Hall County, TX",50.07
199531,"Hamilton County, TX",48.91
199543,"Hansford County, TX",50.42
199552,"Hardeman County, TX",50.72
199558,"Hardin County, TX",46.64
199594,"Harris County, TX",57.11
201955,"Harrison County, TX",50.39
202000,"Hartley County, TX",54.03
202006,"Haskell County, TX",43.97
202015,"Hays County, TX",52.35
202093,"Hemphill County, TX",45.72
202099,"Henderson County, TX",47.61
202153,"Hidalgo County, TX",50.95
202495,"Hill County, TX",50.03
202531,"Hockley County, TX",49.76
202555,"Hood County, TX",48.74
202588,"Hopkins County, TX",52.16
202618,"Houston County, TX",46.53
202642,"Howard County, TX",50.62
202675,"Hudspeth County, TX",53.45
202681,"Hunt County, TX",51.62
202741,"Hutchinson County, TX",47.7
202765,"Irion County, TX",47.9
202771,"Jack County, TX",46.18
202783,"Jackson County, TX",52.82
202795,"Jasper County, TX",49.29
202822,"Jeff Davis County, TX",40.05
202828,"Jefferson County, TX",50.43
203050,"Jim Hogg County, TX",46.31
203059,"Jim Wells County, TX",51.02
203083,"Johnson County, TX",54.91
203170,"Jones County, TX",42.82
203191,"Karnes County, TX",43.88
203206,"Kaufman County, TX",53.65
203263,"Kendall County, TX",46.02
203284,"Kenedy County, TX",52.04
203293,"Kent County, TX",47.49
203299,"Kerr County, TX",47.17
203332,"Kimble County, TX",43.66
203341,"King County, TX",46.21
203347,"Kinney County, TX",48.88
203353,"Kleberg County, TX",51.79
203374,"Knox County, TX",52.75
203383,"Lamar County, TX",48.32
203422,"Lamb County, TX",48.93
203440,"Lampasas County, TX",49.6
203458,"La Salle County, TX",47.05
203464,"Lavaca County, TX",50.68
203485,"Lee County, TX",49.73
203500,"Leon County, TX",42.67
203512,"Liberty County, TX",52.67
203557,"Limestone County, TX",48.65
203584,"Lipscomb County, TX",54.31
203593,"Live Oak County, TX",50.96
203608,"Llano County, TX",43.65
203629,"Loving County, TX",56.58
203635,"Lubbock County, TX",56.59
203842,"Lynn County, TX",49.13
203854,"McCulloch County, TX",47.31
203866,"McLennan County, TX",50.27
204022,"McMullen County, TX",47.66
204028,"Madison County, TX",49.23
204043,"Marion County, TX",43.28
204058,"Martin County, TX",48.82
204067,"Mason County, TX",45.29
204076,"Matagorda County, TX",47.06
204112,"Maverick County, TX",53.99
204142,"Medina County, TX",47.89
204169,"Menard County, TX",38.75
204175,"Midland County, TX",57.89
204259,"Milam County, TX",46.25
204283,"Mills County, TX",46.66
204292,"Mitchell County, TX",51.65
204301,"Montague County, TX",46.06
204322,"Montgomery County, TX",47.06
204502,"Moore County, TX",58.23
204517,"Morris County, TX",46.66
204529,"Motley County, TX",46.11
204535,"Nacogdoches County, TX",48.93
204577,"Navarro County, TX",51.05
204610,"Newton County, TX",48.98
204625,"Nolan County, TX",52.56
204643,"Nueces County, TX",57.22
204892,"Ochiltree County, TX",54.39
204904,"Oldham County, TX",44.18
204910,"Orange County, TX",48.67
204976,"Palo Pinto County, TX",47.17
205006,"Panola County, TX",53.08
205027,"Parker County, TX",47.51
205087,"Parmer County, TX",48.83
205096,"Pecos County, TX",54.41
205111,"Polk County, TX",50.13
205144,"Potter County, TX",55.36
205249,"Presidio County, TX",41.68
205258,"Rains County, TX",50.17
205267,"Randall County, TX",55.54
205357,"Reagan County, TX",50.01
205363,"Real County, TX",37.61
205369,"Red River County, TX",47.39
205384,"Reeves County, TX",51.22
205402,"Refugio County, TX",46.97
205411,"Roberts County, TX",46.18
205417,"Robertson County, TX",52.68
205435,"Rockwall County, TX",47.6
205471,"Runnels County, TX",54.26
205486,"Rusk County, TX",49.11
205528,"Sabine County, TX",47.41
205540,"San Augustine County, TX",44.87
205552,"San Jacinto County, TX",49.96
205567,"San Patricio County, TX",50.07
205618,"San Saba County, TX",51.74
205627,"Schleicher County, TX",51.88
205633,"Scurry County, TX",53.55
205648,"Shackelford County, TX",54.44
205654,"Shelby County, TX",50.24
205675,"Sherman County, TX",50.72
205681,"Smith County, TX",49.17
205807,"Somervell County, TX",48.35
205816,"Starr County, TX",51.17
205864,"Stephens County, TX",42.04
205876,"Sterling County, TX",46.53
205882,"Stonewall County, TX",48.9
205888,"Sutton County, TX",51.25
205894,"Swisher County, TX",46.01
205906,"Tarrant County, TX",57.27
206980,"Taylor County, TX",52.4
207097,"Terrell County, TX",47.27
207103,"Terry County, TX",53.77
207115,"Throckmorton County, TX",38.48
207121,"Titus County, TX",49.07
207148,"Tom Green County, TX",53.93
207226,"Travis County, TX",56.29
207883,"Trinity County, TX",47.37
207901,"Tyler County, TX",46.78
207919,"Upshur County, TX",48.37
207943,"Upton County, TX",52.83
207952,"Uvalde County, TX",46.43
207970,"Val Verde County, TX",51.47
208003,"Van Zandt County, TX",49.26
208036,"Victoria County, TX",49.76
208108,"Walker County, TX",47.97
208141,"Waller County, TX",49.46
208162,"Ward County, TX",55.28
208174,"Washington County, TX",45.84
208195,"Webb County, TX",55.36
208381,"Wharton County, TX",48.68
208417,"Wheeler County, TX",46.55
208426,"Wichita County, TX",54.4
208540,"Wilbarger County, TX",52.53
208555,"Willacy County, TX",54.73
208576,"Williamson County, TX",55.55
208846,"Wilson County, TX",49.09
208882,"Winkler County, TX",47.59
208894,"Wise County, TX",52.12
208930,"Wood County, TX",46.68
208963,"Yoakum County, TX",52.61
208972,"Young County, TX",53.1
208987,"Zapata County, TX",54.11
208999,"Zavala County, TX",47.59
209014,"Beaver County, UT",47.08
209023,"Box Elder County, UT",54.91
209059,"Cache County, UT",54.22
209140,"Carbon County, UT",46.02
209158,"Daggett County, UT",51.22
209164,"Davis County, UT",57.1
209329,"Duchesne County, UT",50.25
209341,"Emery County, UT",43.79
209353,"Garfield County, UT",47.17
209362,"Grand County, UT",50.59
209371,"Iron County, UT",58.73
209398,"Juab County, UT",51.82
209407,"Kane County, UT",41.78
209416,"Millard County, UT",51.34
209428,"Morgan County, UT",47.6
209437,"Piute County, UT",50.14
209443,"Rich County, UT",48.11
209449,"Salt Lake County, UT",65.32
210088,"San Juan County, UT",52.37
210103,"Sanpete County, UT",50.74
210121,"Sevier County, UT",48.07
210139,"Summit County, UT",46.81
210181,"Tooele County, UT",52.63
210217,"Uintah County, UT",51.39
210238,"Utah County, UT",61.99
210625,"Wasatch County, UT",44.57
210640,"Washington County, UT",48.75
210706,"Wayne County, UT",43.49
210712,"Weber County, UT",60.5
210865,"Addison County, VT",46.7
210898,"Bennington County, VT",44.2
210937,"Caledonia County, VT",45.29
210970,"Chittenden County, VT",47.87
211078,"Essex County, VT",49.07
211090,"Franklin County, VT",45.61
211123,"Grand Isle County, VT",44.34
211132,"Lamoille County, VT",48.69
211156,"Orange County, VT",44.86
211189,"Orleans County, VT",42.92
211222,"Rutland County, VT",44.81
211285,"Washington County, VT",43.8
211345,"Windham County, VT",44.69
211402,"Windsor County, VT",43.58
211459,"Accomack County, VA",47.17
211498,"Albemarle County, VA",44.35
211567,"Alleghany County, VA",41.54
211588,"Amelia County, VA",43.43
211597,"Amherst County, VA",45.65
211627,"Appomattox County, VA",50.76
211639,"Arlington County, VA",74.8
211819,"Augusta County, VA",43.13
211861,"Bath County, VA",50.54
211867,"Bedford County, VA",46.25
211921,"Bland County, VA",45.35
211930,"Botetourt County, VA",46.37
211957,"Brunswick County, VA",44.07
211975,"Buchanan County, VA",44.3
211999,"Buckingham County, VA",46.85
212014,"Campbell County, VA",41.03
212053,"Caroline County, VA",49.74
212077,"Carroll County, VA",45.44
212101,"Charles City County, VA",47.57
212113,"Charlotte County, VA",49.26
212125,"Chesterfield County, VA",45.66
212341,"Clarke County, VA",44.77
212353,"Craig County, VA",36.68
212359,"Culpeper County, VA",44.91
212386,"Cumberland County, VA",47.27
212395,"Dickenson County, VA",43.52
212410,"Dinwiddie County, VA",44.23
212434,"Essex County, VA",44.78
212446,"Fairfax County, VA",60.51
213223,"Fauquier County, VA",45.46
213277,"Floyd County, VA",41.2
213289,"Fluvanna County, VA",40.38
213304,"Franklin County, VA",45.85
213337,"Frederick County, VA",45.72
213382,"Giles County, VA",48.33
213397,"Gloucester County, VA",46.31
213424,"Goochland County, VA",40.3
213442,"Grayson County, VA",43.51
213460,"Greene County, VA",46.62
213472,"Greensville County, VA",42.39
213484,"Halifax County, VA",42.05
213514,"Hanover County, VA",43.17
213586,"Henrico County, VA",46.29
213781,"Henry County, VA",44.21
213826,"Highland County, VA",37.83
213832,"Isle of Wight County, VA",43.3
213859,"James City County, VA",45.65
213895,"King and Queen County, VA",45.37
213904,"King George County, VA",48.57
213922,"King William County, VA",49.01
213937,"Lancaster County, VA",44.77
213952,"Lee County, VA",44.59
213973,"Loudoun County, VA",58.45
214171,"Louisa County, VA",46.92
214192,"Lunenburg County, VA",39.15
214204,"Madison County, VA",48.96
214213,"Mathews County, VA",43.67
214225,"Mecklenburg County, VA",44.36
214255,"Middlesex County, VA",43.81
214273,"Montgomery County, VA",48.08
214324,"Nelson County, VA",42.5
214336,"New Kent County, VA",44.34
214348,"Northampton County, VA",50.12
214363,"Northumberland County, VA",44.68
214378,"Nottoway County, VA",53.97
214393,"Orange County, VA",43.51
214411,"Page County, VA",46.49
214429,"Patrick County, VA",40.84
214444,"Pittsylvania County, VA",45.01
214495,"Powhatan County, VA",42.39
214513,"Prince Edward County, VA",49.15
214531,"Prince George County, VA",44.9
214555,"Prince William County, VA",56.0
214807,"Pulaski County, VA",46.14
214840,"Rappahannock County, VA",45.84
214849,"Richmond County, VA",42.5
214858,"Roanoke County, VA",42.72
214915,"Rockbridge County, VA",43.3
214930,"Rockingham County, VA",45.09
214990,"Russell County, VA",45.59
215014,"Scott County, VA",48.45
215035,"Shenandoah County, VA",48.05
215065,"Smyth County, VA",46.03
215095,"Southampton County, VA",47.79
215113,"Spotsylvania County, VA",48.29
215206,"Stafford County, VA",46.04
215290,"Surry County, VA",47.28
215299,"Sussex County, VA",46.8
215317,"Tazewell County, VA",43.74
215353,"Warren County, VA",50.3
215380,"Washington County, VA",45.96
215422,"Westmoreland County, VA",44.74
215437,"Wise County, VA",44.86
215473,"Wythe County, VA",48.96
215494,"York County, VA",48.51
215542,"Alexandria city, VA",69.46
215659,"Bristol city, VA",42.75
215674,"Buena Vista city, VA",42.8
215680,"Charlottesville city, VA",54.75
215719,"Chesapeake city, VA",50.41
215845,"Colonial Heights city, VA",48.62
215863,"Covington city, VA",42.76
215872,"Danville city, VA",46.37
215923,"Emporia city, VA",43.39
215932,"Fairfax city, VA",52.95
215950,"Falls Church city, VA",78.68
215962,"Franklin city, VA",45.59
215971,"Fredericksburg city, VA",56.06
215992,"Galax city, VA",44.62
216001,"Hampton city, VA",54.82
216106,"Harrisonburg city, VA",57.53
216142,"Hopewell city, VA",49.2
216166,"Lexington city, VA",51.2
216172,"Lynchburg city, VA",46.39
216232,"Manassas city, VA",64.96
216256,"Manassas Park city, VA",74.78
216265,"Martinsville city, VA",45.99
216283,"Newport News city, VA",55.82
216418,"Norfolk city, VA",64.44
216664,"Norton city, VA",51.31
216670,"Petersburg city, VA",46.5
216706,"Poquoson city, VA",45.75
216721,"Portsmouth city, VA",53.49
216817,"Radford city, VA",49.32
216829,"Richmond city, VA",57.38
217030,"Roanoke city, VA",51.56
217102,"Salem city, VA",42.87
217120,"Staunton city, VA",47.05
217141,"Suffolk city, VA",46.61
217228,"Virginia Beach city, VA",59.99
217531,"Waynesboro city, VA",49.08
217549,"Williamsburg city, VA",54.84
217561,"Winchester city, VA",55.6
217579,"Adams County, WA",55.91
217597,"Asotin County, WA",54.41
217618,"Benton County, WA",52.83
217732,"Chelan County, WA",53.74
217777,"Clallam County, WA",48.72
217846,"Clark County, WA",57.01
218161,"Columbia County, WA",46.89
218167,"Cowlitz County, WA",54.24
218242,"Douglas County, WA",53.27
218269,"Ferry County, WA",46.24
218281,"Franklin County, WA",61.0
218323,"Garfield County, WA",50.2
218329,"Grant County, WA",49.1
218380,"Grays Harbor County, WA",52.29
218434,"Island County, WA",51.83
218503,"Jefferson County, WA",50.41
218530,"King County, WA",63.75
219727,"Kitsap County, WA",49.64
219895,"Kittitas County, WA",53.01
219922,"Klickitat County, WA",49.18
219934,"Lewis County, WA",48.46
219997,"Lincoln County, WA",45.81
220012,"Mason County, WA",48.13
220057,"Okanogan County, WA",50.52
220090,"Pacific County, WA",47.48
220117,"Pend Oreille County, WA",49.4
220135,"Pierce County, WA",57.83
220654,"San Juan County, WA",46.53
220672,"Skagit County, WA",51.19
220765,"Skamania County, WA",53.27
220783,"Snohomish County, WA",59.1
221239,"Spokane County, WA",55.31
221557,"Stevens County, WA",48.55
221596,"Thurston County, WA",50.85
221749,"Wahkiakum County, WA",42.99
221755,"Walla Walla County, WA",52.71
221794,"Whatcom County, WA",51.27
221899,"Whitman County, WA",53.89
221932,"Yakima County, WA",55.41
222070,"Barbour County, WV",44.58
222085,"Berkeley County, WV",47.17
222130,"Boone County, WV",47.44
222157,"Braxton County, WV",39.96
222169,"Brooke County, WV",41.99
222190,"Cabell County, WV",48.26
222280,"Calhoun County, WV",46.69
222289,"Clay County, WV",44.31
222301,"Doddridge County, WV",42.17
222310,"Fayette County, WV",43.0
222349,"Gilmer County, WV",47.01
222358,"Grant County, WV",41.1
222370,"Greenbrier County, WV",46.96
222394,"Hampshire County, WV",46.62
222412,"Hancock County, WV",46.43
222439,"Hardy County, WV",49.12
222451,"Harrison County, WV",46.05
222520,"Jackson County, WV",45.69
222541,"Jefferson County, WV",47.42
222589,"Kanawha County, WV",47.21
222751,"Lewis County, WV",48.04
222769,"Lincoln County, WV",43.05
222787,"Logan County, WV",45.65
222817,"McDowell County, WV",44.07
222844,"Marion County, WV",44.73
222901,"Marshall County, WV",46.31
222931,"Mason County, WV",44.04
222952,"Mercer County, WV",44.76
223003,"Mineral County, WV",46.51
223027,"Mingo County, WV",42.99
223051,"Monongalia County, WV",54.4
223126,"Monroe County, WV",43.14
223138,"Morgan County, WV",42.83
223153,"Nicholas County, WV",45.36
223177,"Ohio County, WV",47.84
223234,"Pendleton County, WV",40.0
223246,"Pleasants County, WV",54.13
223255,"Pocahontas County, WV",47.11
223270,"Preston County, WV",46.35
223297,"Putnam County, WV",41.95
223330,"Raleigh County, WV",46.02
223384,"Randolph County, WV",44.98
223408,"Ritchie County, WV",41.99
223420,"Roane County, WV",38.74
223435,"Summers County, WV",45.2
223450,"Taylor County, WV",45.41
223465,"Tucker County, WV",45.09
223477,"Tyler County, WV",44.33
223489,"Upshur County, WV",48.65
223510,"Wayne County, WV",45.45
223546,"Webster County, WV",46.4
223558,"Wetzel County, WV",43.96
223576,"Wirt County, WV",41.39
223585,"Wood County, WV",47.43
223666,"Wyoming County, WV",43.64
223687,"Adams County, WI",44.11
223711,"Ashland County, WI",46.48
223738,"Barron County, WI",44.57
223771,"Bayfield County, WI",47.48
223792,"Brown County, WI",51.87
223957,"Buffalo County, WI",41.0
223975,"Burnett County, WI",47.24
223996,"Calumet County, WI",47.58
224032,"Chippewa County, WI",44.63
224068,"Clark County, WI",44.77
224095,"Columbia County, WI",44.54
224134,"Crawford County, WI",46.5
224155,"Dane County, WI",52.05
224479,"Dodge County, WI",50.69
224542,"Door County, WI",43.99
224575,"Douglas County, WI",50.81
224617,"Dunn County, WI",46.42
224644,"Eau Claire County, WI",49.84
224707,"Florence County, WI",42.91
224716,"Fond du Lac County, WI",48.92
224779,"Forest County, WI",49.3
224794,"Grant County, WI",42.74
224833,"Green County, WI",43.29
224860,"Green Lake County, WI",41.39
224881,"Iowa County, WI",45.51
224902,"Iron County, WI",42.71
224917,"Jackson County, WI",45.19
224935,"Jefferson County, WI",46.25
224998,"Juneau County, WI",44.35
225022,"Kenosha County, WI",56.91
225133,"Kewaunee County, WI",43.36
225151,"La Crosse County, WI",53.47
225229,"Lafayette County, WI",43.33
225247,"Langlade County, WI",46.25
225268,"Lincoln County, WI",43.62
225301,"Manitowoc County, WI",47.08
225364,"Marathon County, WI",46.78
225448,"Marinette County, WI",45.47
225490,"Marquette County, WI",44.06
225508,"Menominee County, WI",59.02
225517,"Milwaukee County, WI",58.98
226414,"Monroe County, WI",44.88
226444,"Oconto County, WI",45.79
226480,"Oneida County, WI",46.0
226525,"Outagamie County, WI",51.36
226648,"Ozaukee County, WI",44.51
226708,"Pepin County, WI",42.27
226717,"Pierce County, WI",50.05
226744,"Polk County, WI",46.24
226777,"Portage County, WI",47.3
226822,"Price County, WI",42.34
226843,"Racine County, WI",50.48
226981,"Richland County, WI",43.02
226999,"Rock County, WI",49.4
227116,"Rusk County, WI",44.79
227134,"St. Croix County, WI",42.24
227179,"Sauk County, WI",42.9
227221,"Sawyer County, WI",44.05
227242,"Shawano County, WI",43.22
227278,"Sheboygan County, WI",51.09
227362,"Taylor County, WI",46.71
227383,"Trempealeau County, WI",45.57
227410,"Vernon County, WI",44.1
227434,"Vilas County, WI",46.36
227452,"Walworth County, WI",49.26
227521,"Washburn County, WI",47.47
227539,"Washington County, WI",44.76
227626,"Waukesha County, WI",43.21
227887,"Waupaca County, WI",46.64
227926,"Waushara County, WI",45.18
227950,"Winnebago County, WI",53.44
228076,"Wood County, WI",46.62
228130,"Albany County, WY",62.68
228163,"Big Horn County, WY",42.34
228175,"Campbell County, WY",47.16
228199,"Carbon County, WY",48.64
228217,"Converse County, WY",49.2
228232,"Crook County, WY",52.42
228241,"Fremont County, WY",52.88
228274,"Goshen County, WY",45.35
228289,"Hot Springs County, WY",47.0
228298,"Johnson County, WY",49.92
228307,"Laramie County, WY",53.25
228373,"Lincoln County, WY",43.41
228388,"Natrona County, WY",56.54
228445,"Niobrara County, WY",49.25
228451,"Park County, WY",51.39
228469,"Platte County, WY",42.02
228478,"Sheridan County, WY",51.62
228499,"Sublette County, WY",43.92
228508,"Sweetwater County, WY",58.26
228547,"Teton County, WY",47.46
228562,"Uinta County, WY",48.74
228574,"Washakie County, WY",54.22
228586,"Weston County, WY",48.3
